Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 36 КомбиМАКС бесщеточная 2 2ач, 4 насадки [687.2.2.78];237955;10650.0;12.0;36.0;10;26;0.82;2.0;Сверление/заворачивание;бесщеточный;профессиональный;;;420;1500;
Аккумуляторный шуруповерт ВИХРЬ ДА-18Л-2КУ ударная [72/14/17];135852;6990.0;18.0;45.0;12;30;1.3;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторный шуруповерт DeWALT DCD785С2 ударная [DCD785C2-QW];101526;21050.0;18.0;60.0;13;38;1.6;1.5;Сверление;щеточный;профессиональный;600;2000;600;2000;1.3
Аккумуляторная отвертка ИНТЕРСКОЛ ОА-3.6Ф (блистер) [433.0.2.00];105317;2099.0;3.6;5.0;;;0.5;1.3;;щеточный;;;;;;
Аккумуляторный шуруповерт MAKITA DHP 451 RFE ударная [DHP451RFE];119537;36990.0;18.0;80.0;13;65;2.2;3.0;Сверление/сверлениесударом;щеточный;профессиональный;300;600;300;600;1.5
Аккумуляторный шуруповерт MAKITA DHP453SYE ударная;93951;19990.0;18.0;42.0;13;36;1.9;1.5;Сверление/сверлениесударом;щеточный;профессиональный;400;1300;400;1300;1.5
Аккумуляторная дрель-шуруповерт MAKITA DF 333 DWME [DF333DWME];140587;13564.0;10.8;30.0;10;21;1.1;4.0;Сверление;щеточный;профессиональный;450;1700;450;1700;1.5
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 ВК ударная (2х1.5 Ач) [573.1.2.70];171118;7452.0;18.0;45.0;13;36;1.6;1.5;Сверление/сверлениесударом;бесщеточный;профессиональный;400;1700;400;1700;1.5
Аккумуляторный шуруповерт MAKITA DTD 154 Z ударный, бесщеточный, без АКБ и ЗУ [DTD154Z];111555;11821.0;18.0;160.0;;;1.5;3.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;1100;2100;1100;2100;
Аккумуляторный шуруповерт MAKITA DDF 484 Z без АКБ и ЗУ [DDF484Z];112103;11990.0;18.0;54.0;13;38;1.5;;Сверление;бесщеточный;профессиональный;500;2000;500;2000;1.5
