Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная OASIS ASB-24S [4640039483229];214032;5000.0;24.0;45.0;12;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASU-24S [4640039483274];214033;6380.0;24.0;45.0;12;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS AV-12 eco [4640039486534];214037;1736.0;12.0;22.0;10;21;;2.0;;синхронный;;350;;350;;
Дрель-шуруповерт аккумуляторная OASIS AS-12V eco [4640039486541];214038;1780.0;12.0;22.0;10;21;;2.0;;;;350;;350;;
Дрель-шуруповерт аккумуляторная OASIS ASB 12S Eco [4640130908096];214039;2937.0;12.0;25.0;10;21;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASB 14S Eco [4640130908119];214040;3827.0;14.0;30.0;10;25;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASB 18S Eco [4640130908133];214041;4361.0;18.0;35.0;12;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASD 12S [4640130907952];214042;4806.0;12.0;30.0;16;21;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASD 20S [4640130907976];214043;6586.0;20.0;40.0;16;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASB 12V Pro [4640130907853];214044;6942.0;12.0;40.0;16;20;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASB 14V Pro [4640130907877];214045;7921.0;14.0;45.0;16;25;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASB 18V Pro [4640130907891];214046;8811.0;18.0;50.0;16;30;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASB 21V Pro [4640130907914];214047;9479.0;21.0;60.0;16;30;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASD 20V Pro [4640130907938];214048;9701.0;20.0;55.0;16;30;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASU 14V Pro [4640130907792];214050;8722.0;14.0;45.0;16;25;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASU 18V Pro [4640130907815];214051;9701.0;18.0;50.0;16;30;;2.0;;;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASU 21V Pro [4640130907839];214052;9968.0;21.0;60.0;16;30;;2.0;;;;350;1300;350;1300;
Отвертка аккумуляторная OASIS AT-36 Eco [4640130910259];214075;1246.0;3.6;3.5;;;;1.3;;синхронный;;;;;;
Дрель-шуруповерт аккумуляторная ЗУБР DBS-201 ударная, бесщеточная, без АКБ и ЗУ;215152;11230.0;20.0;70.0;13;45;1.5;;;;;;;;;
Дрель-шуруповерт аккумуляторная ЗУБР DL-121 без акб и зу;215153;4980.0;12.0;40.0;10;22;0.8;;;;;;;;;
Дрель-шуруповерт аккумуляторная ЗУБР ДШЛ-185 ударная, без АКБ и ЗУ;215286;3360.0;18.0;40.0;12;28;1.1;;;;;;;;;
Дрель-шуруповерт аккумуляторная DEKO ZKCD80FU-Li SET 3, 1х2.0Ah [063-4128];217122;1688.0;8.0;18.0;;;0.84;2.0;Сверление;щеточный;бытовой;800;;;;1.0
Дрель-шуруповерт аккумуляторная PATRIOT BR 113 Li [180301113];213573;4290.0;12.0;18.0;10;16;1.3;1.3;Сверление;щеточный;бытовой;800;;800;;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 117 Li [180301117];213575;3732.0;12.0;23.0;8;20;1.9;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-12Л-2КН с набором инструментов [72/14/35];227035;5590.0;12.0;30.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-16Л-2К (2,0 а/ч) [72/14/32];227036;3592.0;16.0;42.0;10;25;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Отвертка аккумуляторная ВИХРЬ ОА-3,6 [72/14/31];227052;2690.0;3.6;5.0;;;0.6;1.5;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-20Л-2КА с набором оснастки 65 предметов [72/14/36];227037;4190.0;20.0;42.0;12;30;1.3;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Отвертка аккумуляторная HOTO QWLSD007 синяя.;230067;1990.0;3.6;4.0;;;0.2;1.5;;;;;;;;
Отвертка аккумуляторная HOTO QWLSD008 синяя;230070;2990.0;3.6;5.0;;;0.36;2.0;;;;;;;;
Дрель-шуруповерт аккумуляторная INGCO CDLI12325;229873;3790.0;12.0;20.0;10;18;2.0;1.5;;щеточный;;350;1350;;;0.8
Отвертка аккумуляторная INGCO CSDLI0402;229881;1290.0;4.0;4.0;;;0.475;1.3;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-12Л-2КC (2,0 а/ч) [72/14/33];238408;4790.0;12.0;30.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-18Л-2КC (2,0 а/ч) [72/14/34];238411;6990.0;18.0;45.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная FERM CDM1147P;240350;13590.0;20.0;50.0;13;35;2.0;2.0;;;;;;;;
Дрель-шуруповерт аккумуляторная СОЮЗ ДШС-12;207008;3850.0;12.0;25.0;10;20;1.0;2.0;;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная СОЮЗ ДШС-12К;207009;5250.0;12.0;25.0;;;2.06;2.0;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная СОЮЗ ДШС-14К;207013;6350.0;14.4;27.0;;;2.16;2.0;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная СОЮЗ ДШС-3212Л;207016;4650.0;12.0;20.0;10;20;0.9;2.0;;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная EUROLUX ДА-12/1Li [72/14/37];238406;1698.0;12.0;25.0;10;20;0.96;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная EUROLUX ДА-12/2Li [72/14/38];238407;2511.0;12.0;25.0;10;20;0.96;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная EUROLUX ДА-14/2Li [72/14/39];238409;3755.0;14.0;30.0;10;25;1.25;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 367Li [180201367];246377;6290.0;12.0;35.0;7;16;1.6;2.0;Сверление;бесщеточный;бытовой;500;1500;;;
Дрель-шуруповерт аккумуляторная PATRIOT BR 369Li [180201369];246378;6590.0;12.0;35.0;6;25;1.6;2.0;Сверление;бесщеточный;бытовой;500;1500;;;
Дрель-шуруповерт аккумуляторная BOSCH GSB 185-LI без АКБ и ЗУ [06019K3103];247625;9017.0;18.0;50.0;10;30;;;;;;500;1900;;;
Дрель-шуруповерт аккумуляторная DEKO DKCD20 Impact 2x4.0Ah ударная [063-4420];235266;9670.0;20.0;45.0;10;25;3.2;4.0;2режима;щеточный;;350;1350;;;
Дрель-шуруповерт аккумуляторная КРАТОН CDB-12-Li-1,5 [3 11 01 058];226960;2990.0;12.0;30.0;10;30;1.04;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CDB-14,4-Li-1,5 [3 11 01 059];226961;3790.0;14.4;32.0;10;26;1.1;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CD-12-Li-1,5 [3 11 01 054];226962;3990.0;12.0;30.0;10;30;1.04;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CD-18-Li-2,0 [3 11 01 057];226963;4306.0;12.0;22.0;6;20;1.05;1.3;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CDB-18-Li-1,5 [3 11 01 060];226964;3990.0;18.0;32.0;10;32;1.14;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CD-18-Li-1,5 [3 11 01 056];226965;4206.0;18.0;32.0;10;32;1.14;1.5;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная КРАТОН CDL-18-1-H [3 11 01 053];248453;7070.0;18.0;30.0;6;25;1.45;1.3;Сверление/заворачивание;щеточный;бытовой;350;1150;;;
Дрель-шуруповерт аккумуляторная КРАТОН CD-14,4-Li-1,5 [3 11 01 055];248454;3790.0;14.4;32.0;10;26;1.1;1.5;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1855R;240530;12990.0;18.0;55.0;10;35;1.12;2.4;Сверление/заворачивание;щеточный;профессиональный;400;1600;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1855RI ударная;240531;13990.0;18.0;55.0;10;35;1.2;2.4;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;400;1600;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1865I;240532;15990.0;18.0;65.0;10;35;1.35;2.4;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;500;2000;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1865C;240533;15990.0;18.0;65.0;10;35;1.25;2.4;Сверление/заворачивание;бесщеточный;профессиональный;500;2000;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1865;240819;14990.0;18.0;65.0;10;35;1.35;2.4;Сверление/заворачивание;бесщеточный;профессиональный;500;2000;;;
Дрель-шуруповерт аккумуляторная Победа ДА-12/1Ли [180201648];236788;3090.0;12.0;22.0;;;1.3;2.2;;щеточный;бытовой;;;400;1490;
Дрель-шуруповерт аккумуляторная Победа ДА-12/2 Ли кейс [180201634];236789;3990.0;12.0;32.0;;;1.8;2.2;;щеточный;бытовой;;;400;1490;
Дрель-шуруповерт аккумуляторная Победа ДА-12П/1 Ли [180201626];236790;1990.0;12.0;32.0;;;1.25;2.2;;щеточный;бытовой;;;750;;
Дрель-шуруповерт аккумуляторная Победа ДА-12П/2 Ли кейс [180201637];236791;3590.0;12.0;25.0;;;1.8;2.0;;щеточный;бытовой;;;400;1200;
Дрель-шуруповерт аккумуляторная Победа ДА-18/2 Ли кейс [180201636];236793;4290.0;18.0;38.0;;;2.1;2.2;;щеточный;бытовой;;;400;1490;
Отвертка аккумуляторная Hammer ACD3.6A с набором бит 1,3Ah Li-ion, 4Hм [102-007];254216;1850.0;3.6;4.0;;;0.35;1.3;;;;;;;;
Дрель-шуруповерт аккумуляторная MIGHTY SEVEN DH-101 ударная;233022;13150.0;18.0;90.0;13;50;2.067;5000.0;Сверление/сверлениесударом;бесщеточный;;;;500;2000;13.0
Дрель-шуруповерт аккумуляторная MIGHTY SEVEN DH-101A ударная, кейс;233023;33650.0;18.0;90.0;13;50;2.067;5000.0;Сверление/сверлениесударом;бесщеточный;;;;500;2000;13.0
Дрель-шуруповерт аккумуляторная MIGHTY SEVEN DD-101 импульсная;233148;12200.0;18.0;90.0;13;30;1.986;5.0;Сверление/заворачивание;бесщеточный;;;;500;2000;13.0
Дрель-шуруповерт аккумуляторная MIGHTY SEVEN DD-101A импульсная, кейс;233149;30900.0;18.0;90.0;13;30;5.78;5.0;Сверление/заворачивание;бесщеточный;;;;500;2000;13.0
Дрель-шуруповерт аккумуляторная NORDBERG NE108K [ЦБ-00016880];223972;12309.0;20.0;80.0;;;3.8;2.0;Сверление;щеточный;бытовой;450;1600;;;
Дрель-шуруповерт аккумуляторная NORDBERG NE103K [ЦБ-0009217];224344;7702.0;12.0;30.0;;;2.0;2.0;Сверление;щеточный;бытовой;400;1250;;;
Отвертка аккумуляторная DENZEL CSL-3,6-01 с аксессуарами [26001];210554;3190.0;3.6;4.0;;;1.0;1.3;;;;;;;;
Дрель-шуруповерт аккумуляторная DENZEL BLDL-IB-18-02 бесщеточная [26121];210557;16100.0;18.0;65.0;13;25;3.35;1.5;Сверление/заворачивание;бесщеточный;;;;;;2.0
Отвертка аккумуляторная DENZEL CSL-3,6-02, Li-Ion [26002];242265;1890.0;3.6;4.0;;;0.5;1.3;;;;;;;;
Дрель-шуруповерт аккумуляторная DENZEL CDL-12-02BM, Li-Ion [26105];242269;7170.0;12.0;20.0;10;16;0.891;2.0;Сверление/заворачивание;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная DENZEL CDL-18-02BM, Li-Ion [26116];242272;8850.0;18.0;30.0;13;25;0.86;2.0;Сверление/заворачивание;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-16Л-2КА с набором оснастки 65 предм. [72/14/49];257900;3917.0;16.0;32.0;10;25;1.3;1.5;Сверление;щеточный;бытовой;400;1400;;;
Дрель-шуруповерт аккумуляторная STURM CD3618 без АКБ и ЗУ [CD3618+];239323;3650.0;18.0;31.0;10;20;1.2;;Сверление/заворачивание;щеточный;;400;1500;;;
Дрель-шуруповерт аккумуляторная STURM CD3508U;240535;3290.0;7.2;18.0;;;0.85;1.5;;щеточный;;350;1100;;;
Дрель-шуруповерт аккумуляторная MIGHTY SEVEN DS-10202 ударный 12в, кейс;182258;13150.0;12.0;100.0;13;;1.8;2.0;;бесщеточный;;;;3000;;13.0
Дрель-шуруповерт аккумуляторная DeWALT DCF 850 NT ударный, бесщеточный, без АКБ и ЗУ [DCF850NT];261878;23098.0;18.0;206.0;;;0.95;;;бесщеточный;профессиональный;3250;;3250;;
Дрель-шуруповерт аккумуляторная EINHELL 4513830 PXC TE-CD 18-2 Li Kit (2x1,5Ah);258822;7999.0;18.0;44.0;;;;1.5;Сверление/заворачивание;;;;;;;
